81,KEG DEPOSIT,1.000,$50.00,$50.00,,,,,,,,,
81,Removed >> KEG DEPOSIT,(1.000),$50.00,($50.00),,,,,,,,,
861,LOCAL BODY CARE,1.000,$3.69,$3.69,,,,,,,,,
029714170809,OB ALASKAN COD FILLE,1.000,$7.99,$7.99,,,,,,,,,
94770,AVOCADO HASS,2.000,$2.00,$4.00,,,,,,,,,
6,EGGS,1.000,$.49,$.49,,,,,,,,,
6,Removed >> EGGS,(1.000),$.49,($.49),,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64834,Invoice Number :,RS105064834,Start :,01/01/2016 12:41:28 PM,End : ,01/01/2016 12:44:30 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
699,FA SALAD BAR,.220,$8.99,$1.98,,,,,,,,,
795709085112,WALLABY GRK YOG PLAI,1.000,$5.99,$5.99,,,,,,,,,
853645005653,PSC BAR SOAP CITRUS SPICE 4 OZ,1.000,$4.99,$4.99,,,,,,,,,
94763,SQUASH DELICATA,1.300,$1.39,$1.81,,,,,,,,,
093966113204,OV RAW SHARP CHEDDAR,1.000,$6.99,$6.99,,,,,,,,,
093966113303,OVAL RAW JACK CHEESE,1.000,$6.69,$6.69,,,,,,,,,
,Mfr. Coupon 0093966-209941,,,($1.00),,,,,,,,,
,Mfr. Coupon 0093966-209941,,,($1.00),,,,,,,,,
,Credit Card,,,$87.58,,,,,,,,,
,SUBTOTAL,,,$87.58,,,,,,,,,
,TOTAL,,,$87.58,,,,,,,,,
,TOTAL TENDERED,,,$87.58,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 87.58,,,,,,,,,,,,
,Approval #: 027804,,,,,,,,,,,,
,Date: 1/1/16 12:44:30 PM PST,,,,,,,,,,,,
,Reference #: 0088,,,,,,,,,,,,
,Signature Captured,,,,,,,,,,,,
,Owner Sale Day,,,($8.16),,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64835,Invoice Number :,RS105064835,Start :,01/01/2016 12:45:12 PM,End : ,01/01/2016 12:46:21 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
638882000612,STAHL SPINACH,1.000,$1.50,$1.50,,,,,,,,,
638882000612,STAHL SPINACH,1.000,$1.50,$1.50,,,,,,,,,
94090,SPINACH BUNCH,1.000,$2.99,$2.99,,,,,,,,,
94587,CHARD,1.000,$1.99,$1.99,,,,,,,,,
94093,ONION YELLOW,1.270,$1.49,$1.89,,,,,,,,,
94763,SQUASH DELICATA,1.070,$1.39,$1.49,,,,,,,,,
94131,APPLE FUJI,2.650,$1.19,$3.15,,,,,,,,,
638882000612,STAHL SPINACH,1.000,$1.50,$1.50,,,,,,,,,
,Credit Card,,,$16.01,,,,,,,,,
,SUBTOTAL,,,$16.01,,,,,,,,,
,TOTAL,,,$16.01,,,,,,,,,
,TOTAL TENDERED,,,$16.01,,,,,,,,,
,Change,,,$.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2138 : Mark,Terminal :,5 : POS5                          ,Receipt Number :,64835,Invoice Number :,RS105064835,Start :,01/01/2016 12:45:12 PM,End : ,01/01/2016 12:46:21 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Amount: 16.01,,,,,,,,,,,,
,Approval #: 08404C,,,,,,,,,,,,
,Date: 1/1/16 12:46:21 PM PST,,,,,,,,,,,,
,Reference #: 0089,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2108 : zzRenae,Terminal :,6 : POS6                          ,Receipt Number :,68065,Invoice Number :,RS106068065,Start :,01/01/2016 12:49:55 PM,End : ,01/01/2016 12:50:41 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
00289,SOCIETE ROQUEFORT,.300,$22.69,$6.81,,,,,,,,,
074682103649,RWK VERY VEG SPICY,1.000,$3.99,$3.99,,,,,,,,,
,Debit Card,,,$10.80,,,,,,,,,
,SUBTOTAL,,,$10.80,,,,,,,,,
,TOTAL,,,$10.80,,,,,,,,,
,TOTAL TENDERED,,,$10.80,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 10.80,,,,,,,,,,,,
,Date: 1/1/16 12:50:41 PM PST,,,,,,,,,,,,
,Reference #: 0090,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2108 : zzRenae,Terminal :,6 : POS6                          ,Receipt Number :,68066,Invoice Number :,RS106068066,Start :,01/01/2016 12:52:23 PM,End : ,01/01/2016 12:52:23 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,No Sale,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64855,Invoice Number :,RS101064855,Start :,01/01/2016 12:53:32 PM,End : ,01/01/2016 12:53:37 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
705,STYROFOAM,8.000,$1.75,$14.00,,,,,,,,,
,Cash,,,$20.00,,,,,,,,,
,SUBTOTAL,,,$14.00,,,,,,,,,
,TOTAL,,,$14.00,,,,,,,,,
,TOTAL TENDERED,,,$20.00,,,,,,,,,
,Change,,,$6.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68067,Invoice Number :,RS106068067,Start :,01/01/2016 12:54:09 PM,End : ,01/01/2016 12:54:44 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
274,FA SOUP CUP,1.000,$2.29,$2.29,,,,,,,,,
03714,FA SAND GRLD CHEESE,1.000,$3.99,$3.99,,,,,,,,,
,DISC STAFF 15%,,,($.35),,,,,,,,,
,DISC STAFF 15%,,,($.60),,,,,,,,,
,Debit Card,,,$5.33,,,,,,,,,
,SUBTOTAL,,,$5.33,,,,,,,,,
,TOTAL,,,$5.33,,,,,,,,,
,TOTAL TENDERED,,,$5.33,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 5.33,,,,,,,,,,,,
,Date: 1/1/16 12:54:44 PM PST,,,,,,,,,,,,
,Reference #: 0091,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64856,Invoice Number :,RS101064856,Start :,01/01/2016 12:54:04 PM,End : ,01/01/2016 12:55:44 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
93031,MANDARIN PAGE,1.800,$2.49,$4.48,,,,,,,,,
025317006958,APLGT BRKFST SAUSAGE,1.000,$4.99,$4.99,,,,,,,,,
94094,CARROT BUNCH,1.000,$2.69,$2.69,,,,,,,,,
94900,PARSLEY CURLY,1.000,$1.99,$1.99,,,,,,,,,
93087,KALE PURPLE,1.000,$2.79,$2.79,,,,,,,,,
,Credit Card,,,$16.94,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64856,Invoice Number :,RS101064856,Start :,01/01/2016 12:54:04 PM,End : ,01/01/2016 12:55:44 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,SUBTOTAL,,,$16.94,,,,,,,,,
,TOTAL,,,$16.94,,,,,,,,,
,TOTAL TENDERED,,,$16.94,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 16.94,,,,,,,,,,,,
,Approval #: 06508C,,,,,,,,,,,,
,Date: 1/1/16 12:55:44 PM PST,,,,,,,,,,,,
,Reference #: 0092,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68068,Invoice Number :,RS106068068,Start :,01/01/2016 12:57:57 PM,End : ,01/01/2016 12:57:58 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Bottle Return,,,($1.50),,,,,,,,,
,Cash,,,,,,,,,,,,
,SUBTOTAL,,,($1.50),,,,,,,,,
,TOTAL,,,($1.50),,,,,,,,,
,TOTAL TENDERED,,,,,,,,,,,,
,Change,,,$1.50,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68069,Invoice Number :,RS106068069,Start :,01/01/2016 12:59:26 PM,End : ,01/01/2016 12:59:26 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,No Sale,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64857,Invoice Number :,RS101064857,Start :,01/01/2016 01:01:50 PM,End : ,01/01/2016 01:03:30 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
890444000205,LATE JULY RICH CRKRS,1.000,$3.69,$3.69,,,,,,,,,
94225,AVOCADO HASS,1.000,$2.00,$2.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64857,Invoice Number :,RS101064857,Start :,01/01/2016 01:01:50 PM,End : ,01/01/2016 01:03:30 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
084114126832,KETTLE POPCORN MAPLE,1.000,$2.00,$2.00,,,,,,,,,
013562001521,ANNIE OATMEAL RAISIN COOKIES 8.4,1.000,$2.39,$2.39,,,,,,,,,
013562001637,ANNIE DOUBLE CHOCOLATE CHIP COOK,1.000,$2.39,$2.39,,,,,,,,,
2757,OATS ROLLED OG,2.210,$1.19,$2.63,,,,,,,,,
093966000337,OVAL HALF&HALF QT,1.000,$3.99,$3.99,,,,,,,,,
745998902027,EE HOT COCOA MIX,1.000,$5.99,$5.99,,,,,,,,,
780066992203,ALP BAGUETTE,1.000,$2.79,$2.79,,,,,,,,,
05006,FA TURKEY RST SLICED,.570,$10.99,$6.26,,,,,,,,,
307,FA COOKIE,1.000,$1.50,$1.50,,,,,,,,,
94648,MUSHROOM CRIMINI,.330,$5.99,$1.98,,,,,,,,,
,Check,,,$37.61,,,,,,,,,
,SUBTOTAL,,,$37.61,,,,,,,,,
,TOTAL,,,$37.61,,,,,,,,,
,TOTAL TENDERED,,,$37.61,,,,,,,,,
,Change,,,$.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68070,Invoice Number :,RS106068070,Start :,01/01/2016 01:05:21 PM,End : ,01/01/2016 01:06:36 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
021497880555,SWALLOW PINOT NOIR,1.000,$8.59,$8.59,,,,,,,,,
,* * * Age Verified 21,,,,,,,,,,,,
074483901345,WILCOX EGGS JUMBO BR,1.000,$4.29,$4.29,,,,,,,,,
94653,MUSHROOM MAITAKE,.030,$13.99,$.42,,,,,,,,,
782126002006,NC TAMPONS SUPER,1.000,$4.59,$4.59,,,,,,,,,
94642,SALAD MIX MESCLUN/ASIAN,.250,$9.99,$2.50,,,,,,,,,
852565003039,BF BEAN RICE CHIP PI,1.000,$3.49,$3.49,,,,,,,,,
,Cash,,,$25.00,,,,,,,,,
,SUBTOTAL,,,$22.35,,,,,,,,,
,TOTAL,,,$22.35,,,,,,,,,
,TOTAL TENDERED,,,$25.00,,,,,,,,,
,Change,,,$2.65,,,,,,,,,
,Owner Sale Day,,,($1.53),,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68071,Invoice Number :,RS106068071,Start :,01/01/2016 01:07:00 PM,End : ,01/01/2016 01:07:44 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
093966000221,OVAL SKIM MILK QUART,1.000,$2.99,$2.99,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68071,Invoice Number :,RS106068071,Start :,01/01/2016 01:07:00 PM,End : ,01/01/2016 01:07:44 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94759,SQUASH BUTTERNUT,3.650,$1.39,$5.07,,,,,,,,,
2001,Water,5.000,$.30,$1.50,,,,,,,,,
,Debit Card,,,$9.56,,,,,,,,,
,SUBTOTAL,,,$9.56,,,,,,,,,
,TOTAL,,,$9.56,,,,,,,,,
,TOTAL TENDERED,,,$9.56,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 9.56,,,,,,,,,,,,
,Date: 1/1/16 1:07:43 PM PST,,,,,,,,,,,,
,Reference #: 0093,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64858,Invoice Number :,RS101064858,Start :,01/01/2016 01:06:33 PM,End : ,01/01/2016 01:09:29 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
042272000807,AMY CHEESE ENCHILADA,1.000,$4.89,$4.89,,,,,,,,,
042272000807,AMY CHEESE ENCHILADA,1.000,$4.89,$4.89,,,,,,,,,
042272000807,AMY CHEESE ENCHILADA,1.000,$4.89,$4.89,,,,,,,,,
038261857477,BUBBIE SAUERKRAUT,5.000,$6.99,$34.95,,,,,,,,,
94089,RADISH RED,1.000,$2.99,$2.99,,,,,,,,,
148810208930,ONION YELLOW 5# BAG,1.000,$3.99,$3.99,,,,,,,,,
94610,GARLIC DRY,.360,$5.99,$2.16,,,,,,,,,
719985239250,FA B-100 CAPS 30,1.000,$9.29,$9.29,,,,,,,,,
719985239250,FA B-100 CAPS 30,1.000,$9.29,$9.29,,,,,,,,,
790011150206,JARROW TAURINE,1.000,$12.99,$12.99,,,,,,,,,
019336100100,PF GHEE CLARIFIED BT,1.000,$10.29,$10.29,,,,,,,,,
650786000178,HFORCE VIT C POWDER,1.000,$21.59,$21.59,,,,,,,,,
042563601102,FD REFRIED PINTO BEA,4.000,$1.49,$5.96,,,,,,,,,
786969010051,NAPA OG OLIVE OIL LG,1.000,$13.39,$13.39,,,,,,,,,
00063,BELGIOIOSO PARMESAN,.508,$9.69,$4.92,,,,,,,,,
077326655252,TOM DEOD SENS CALEND,1.000,$5.99,$5.99,,,,,,,,,
052603054256,PAC ORG CHICK BR,1.000,$3.99,$3.99,,,,,,,,,
039978003751,BRM ROLLED OATS GF,1.000,$6.99,$6.99,,,,,,,,,
041570044261,NUT THINS ALMOND,2.000,$3.39,$6.78,,,,,,,,,
541570410320,Mfr. Coupon 041570-000000,,,($.75),,,,,,,,,
024335211160,BEARITOS OG TORT CHP,2.000,$3.69,$7.38,,,,,,,,,
058449860013,NPATH AMAZ FRST FLAK,3.000,$4.29,$12.87,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64858,Invoice Number :,RS101064858,Start :,01/01/2016 01:06:33 PM,End : ,01/01/2016 01:09:29 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,DISC SUPPORT 15%,,,($.74),,,,,,,,,
,DISC SUPPORT 15%,,,($.74),,,,,,,,,
,DISC SUPPORT 15%,,,($.74),,,,,,,,,
,DISC SUPPORT 15%,,,($5.25),,,,,,,,,
,DISC SUPPORT 15%,,,($.45),,,,,,,,,
,DISC SUPPORT 15%,,,($.60),,,,,,,,,
,DISC SUPPORT 15%,,,($.33),,,,,,,,,
,DISC SUPPORT 15%,,,($1.40),,,,,,,,,
,DISC SUPPORT 15%,,,($1.40),,,,,,,,,
,DISC SUPPORT 15%,,,($1.95),,,,,,,,,
,DISC SUPPORT 15%,,,($1.55),,,,,,,,,
,DISC SUPPORT 15%,,,($3.24),,,,,,,,,
,DISC SUPPORT 15%,,,($.90),,,,,,,,,
,DISC SUPPORT 15%,,,($2.01),,,,,,,,,
,DISC SUPPORT 15%,,,($.74),,,,,,,,,
,DISC SUPPORT 15%,,,($.90),,,,,,,,,
,DISC SUPPORT 15%,,,($.60),,,,,,,,,
,DISC SUPPORT 15%,,,($1.05),,,,,,,,,
,DISC SUPPORT 15%,,,($1.02),,,,,,,,,
,DISC SUPPORT 15%,,,($1.11),,,,,,,,,
,DISC SUPPORT 15%,,,($1.94),,,,,,,,,
,Cash,,,$162.00,,,,,,,,,
,SUBTOTAL,,,$161.07,,,,,,,,,
,TOTAL,,,$161.07,,,,,,,,,
,TOTAL TENDERED,,,$162.00,,,,,,,,,
,Change,,,$.93,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2035 : Donna,Terminal :,5 : POS5                          ,Receipt Number :,64836,Invoice Number :,RS105064836,Start :,01/01/2016 01:10:00 PM,End : ,01/01/2016 01:10:00 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,No Sale,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68072,Invoice Number :,RS106068072,Start :,01/01/2016 01:08:31 PM,End : ,01/01/2016 01:10:29 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
042563603151,FD OG CHOCOLATE CREAM COOKIES 12,1.000,$2.99,$2.99,,,,,,,,,
093966000214,OVAL 2% MILK QUART,1.000,$2.99,$2.99,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68072,Invoice Number :,RS106068072,Start :,01/01/2016 01:08:31 PM,End : ,01/01/2016 01:10:29 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
084114109903,KETTLE BBQ BAKES,1.000,$2.99,$2.99,,,,,,,,,
819898010219,BTN CRISPY WHEAT CRK,1.000,$3.89,$3.89,,,,,,,,,
070734070259,CS NUTCRACKER SWEET,1.000,$2.69,$2.69,,,,,,,,,
856452004390,TTIC ICECRM BROWNIE,1.000,$4.69,$4.69,,,,,,,,,
93111,PAPAYA,.880,$4.99,$4.39,,,,,,,,,
041757001094,LC MINI BABYBEL ORIG,1.000,$4.79,$4.79,,,,,,,,,
94820,YACON,1.000,$3.99,$3.99,,,,,,,,,
01147,BULK MILK CHOC RAINBOW DROPS,.385,$6.99,$2.69,,,,,,,,,
519898000769,Mfr. Coupon 019898-000000,,,($1.00),,,,,,,,,
,DISC STAFF 15%,,,($.45),,,,,,,,,
,DISC STAFF 15%,,,($.45),,,,,,,,,
,DISC STAFF 15%,,,($.45),,,,,,,,,
,DISC STAFF 15%,,,($.59),,,,,,,,,
,DISC STAFF 15%,,,($.41),,,,,,,,,
,DISC STAFF 15%,,,($.71),,,,,,,,,
,DISC STAFF 15%,,,($.66),,,,,,,,,
,DISC STAFF 15%,,,($.72),,,,,,,,,
,DISC STAFF 15%,,,($.60),,,,,,,,,
,DISC STAFF 15%,,,($.41),,,,,,,,,
,Debit Card,,,$29.65,,,,,,,,,
,SUBTOTAL,,,$29.65,,,,,,,,,
,TOTAL,,,$29.65,,,,,,,,,
,TOTAL TENDERED,,,$29.65,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 29.65,,,,,,,,,,,,
,Date: 1/1/16 1:10:29 PM PST,,,,,,,,,,,,
,Reference #: 0094,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68073,Invoice Number :,RS106068073,Start :,01/01/2016 01:10:30 PM,End : ,01/01/2016 01:10:41 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
00006,CV CREAM CHEESE,.461,$3.99,$1.84,,,,,,,,,
99,BAGGED ICE,1.000,$1.49,$1.49,,,,,,,,,
911,STAMPS,1.000,$9.80,$9.80,,,,,,,,,
,Cash,,,$20.00,,,,,,,,,
,SUBTOTAL,,,$13.13,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68073,Invoice Number :,RS106068073,Start :,01/01/2016 01:10:30 PM,End : ,01/01/2016 01:10:41 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,TOTAL,,,$13.13,,,,,,,,,
,TOTAL TENDERED,,,$20.00,,,,,,,,,
,Change,,,$6.87,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64859,Invoice Number :,RS101064859,Start :,01/01/2016 01:10:35 PM,End : ,01/01/2016 01:12:29 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94610,GARLIC DRY,.360,$5.99,$2.16,,,,,,,,,
94094,CARROT BUNCH,1.000,$2.69,$2.69,,,,,,,,,
94011,BANANA,1.690,$.99,$1.67,,,,,,,,,
688853706982,BR BAGUETTE,1.000,$4.19,$4.19,,,,,,,,,
728997168007,ECOVER STAIN REMOVER,1.000,$3.99,$3.99,,,,,,,,,
018673550227,LOCH 1% MILK HGALLON,1.000,$1.79,$1.79,,,,,,,,,
093966000337,OVAL HALF&HALF QT,1.000,$3.99,$3.99,,,,,,,,,
94079,CAULIFLOWER,1.380,$4.99,$6.89,,,,,,,,,
00141,TILLAM CHEDDAR SHARP,.720,$7.89,$5.68,,,,,,,,,
00141,TILLAM CHEDDAR SHARP,.535,$7.89,$4.22,,,,,,,,,
765171123438,VOLPI ROSE SALAMI,1.000,$6.59,$6.59,,,,,,,,,
888289401745,APPLE PINK LADY 3# BAG,1.000,$7.99,$7.99,,,,,,,,,
94648,MUSHROOM CRIMINI,.620,$5.99,$3.71,,,,,,,,,
2545,OLIVES OG PITTED KAL,.560,$11.79,$6.60,,,,,,,,,
042175198502,BS CHERRY VANILLA CREAM SODA SGL,1.000,$.67,$.67,,,,,,,,,
62,6 PK BOTTLE DEPOSIT,.167,$.30,$.05,,,,,,,,,
1558,MAPLE SYRUP B GRADE,1.650,$8.59,$14.17,,,,,,,,,
074852000075,EMMI FONDUE TRAD. SHREDDED BLEND,1.000,$13.59,$13.59,,,,,,,,,
,Credit Card,,,$90.64,,,,,,,,,
,SUBTOTAL,,,$90.64,,,,,,,,,
,TOTAL,,,$90.64,,,,,,,,,
,TOTAL TENDERED,,,$90.64,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 90.64,,,,,,,,,,,,
,Approval #: 06867C,,,,,,,,,,,,
,Date: 1/1/16 1:12:29 PM PST,,,,,,,,,,,,
,Reference #: 0095,,,,,,,,,,,,
,Signature Captured,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68074,Invoice Number :,RS106068074,Start :,01/01/2016 01:11:26 PM,End : ,01/01/2016 01:12:34 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
780066991381,ALP BATARD,1.000,$3.89,$3.89,,,,,,,,,
699,FA SALAD BAR,.460,$8.99,$4.14,,,,,,,,,
00012,APPEL GOUDA SMOKED,.455,$10.99,$5.00,,,,,,,,,
94011,BANANA,2.860,$.99,$2.83,,,,,,,,,
94642,SALAD MIX MESCLUN/ASIAN,.150,$9.99,$1.50,,,,,,,,,
,EBT/SNAP,,,$17.36,,,,,,,,,
,SUBTOTAL,,,$17.36,,,,,,,,,
,TOTAL,,,$17.36,,,,,,,,,
,FSP ELIGIBLE,,,$17.36,,,,,,,,,
,TOTAL TENDERED,,,$17.36,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Approval #: 100010,,,,,,,,,,,,
,Date: 1/1/16 1:12:34 PM PST,,,,,,,,,,,,
,Reference #: 0096,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64860,Invoice Number :,RS101064860,Start :,01/01/2016 01:12:34 PM,End : ,01/01/2016 01:14:21 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
033776080402,EB VEGAN CHEDDAR SQUARES,1.000,$3.99,$3.99,,,,,,,,,
013562000517,ANNIE CINN GRAHAMS,1.000,$5.49,$5.49,,,,,,,,,
360,FA FRESH MUFFIN,1.000,$2.25,$2.25,,,,,,,,,
742535021005,EARTH WATER 1L,1.000,$1.29,$1.29,,,,,,,,,
48,5¢ BOTTLE DEPOSIT GROCERY,1.000,$.05,$.05,,,,,,,,,
853883003114,C2O COCO WATER 33.8,1.000,$3.99,$3.99,,,,,,,,,
D022DELI,DELI OPEN ITEM,1.000,$6.49,$6.49,,,,,,,,,
02832,FA BEET WALNUT SALAD,.410,$8.99,$3.69,,,,,,,,,
00303,FA WHL SUPER SANDWIC,1.000,$7.49,$7.49,,,,,,,,,
649,FA COMBINED FOOD BAR,.550,$8.99,$4.94,,,,,,,,,
02218,FA CUPCAKE CHOC PEPPERMINT,1.000,$3.49,$3.49,,,,,,,,,
01015,FA YUMMY YAM BAR,1.000,$2.49,$2.49,,,,,,,,,
,Credit Card,,,$45.65,,,,,,,,,
,SUBTOTAL,,,$45.65,,,,,,,,,
,TOTAL,,,$45.65,,,,,,,,,
,TOTAL TENDERED,,,$45.65,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2065 : zzJean,Terminal :,1 : POS1                          ,Receipt Number :,64860,Invoice Number :,RS101064860,Start :,01/01/2016 01:12:34 PM,End : ,01/01/2016 01:14:21 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 45.65,,,,,,,,,,,,
,Approval #: 02608P,,,,,,,,,,,,
,Date: 1/1/16 1:14:21 PM PST,,,,,,,,,,,,
,Reference #: 0097,,,,,,,,,,,,
,Signature Captured,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1618 : Aron,Terminal :,6 : POS6                          ,Receipt Number :,68075,Invoice Number :,RS106068075,Start :,01/01/2016 01:15:34 PM,End : ,01/01/2016 01:16:16 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
039978009180,BRM CORNMEAL,1.000,$3.19,$3.19,,,,,,,,,
022506104174,SPECT PNUT OIL HIGH,1.000,$9.49,$9.49,,,,,,,,,
654871000449,CG LIME MIN WATER,1.000,$1.69,$1.69,,,,,,,,,
48,5¢ BOTTLE DEPOSIT GROCERY,1.000,$.05,$.05,,,,,,,,,
654871000449,CG LIME MIN WATER,1.000,$1.69,$1.69,,,,,,,,,
48,5¢ BOTTLE DEPOSIT GROCERY,1.000,$.05,$.05,,,,,,,,,
039978009180,BRM CORNMEAL,1.000,$3.19,$3.19,,,,,,,,,
,Debit Card,,,$19.35,,,,,,,,,
,SUBTOTAL,,,$19.35,,,,,,,,,
,TOTAL,,,$19.35,,,,,,,,,
,TOTAL TENDERED,,,$19.35,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 19.35,,,,,,,,,,,,
,Date: 1/1/16 1:16:16 PM PST,,,,,,,,,,,,
